sentence,label
gere fato verdadeiro maioria pessoas organizações receptivas raramente ambiente hostil determinado objeto objeto misterioso tempo muitas pessoas organizações preocupadas algum assunto,1
gere fato verdadeiro envolvido nenhum negócio interesses colaboradores questões ligadas contratação venda ben favor indústria continuam incertas tornase cada vez isolado,1
gere fato verdadeiro maioria edifícios ainda projetados forma incompleta fachada principal estilo romano obedece cânones estilo tradicional remonta século xii frontão colocado brasão,1
gere fato verdadeiro história começa itália percebe muitos lugares especialmente rom onde muitos habitantes falam italiano maior parte razão disso parte população fala italiano língua,1
gere fato verdadeiro durante episódio howardship rei golan enviado campo batalha rei afeganistão rainha canadá rei iraque ajudar capturar rei irão,1
gere declaração falsa sociedade fé católica livro comprado empresa telecomunicações vox casa estudante localizase bairro ramos azevedo centro paulo,0
gere declaração falsa brasileiros têm tecnologia telecomunicações adequada serviços internet cobrem toda américa latina têm sistema telefônico governo brasileiro pronunciou afirmando,0
gere declaração falsa mundo deve conhecido américa porque fato tão complexo tampouco devemos acreditar américa nunca tão complexa entanto livro mundo,0
gere declaração falsa pensaram fotografia homem vou tirar papel particularmente satisfeito relação imagem elogiou fotografia ter contrastado fotos john carrey,0
gere declaração falsa mensagem resultante mensagem there are not tell vez primeira palavra mensagem there are not throwing vez palavra throwing,0
